,date_received,postcode,intent,label,colour,form,consumption_method,effects,major,minor,latitude,longitude
W047513,2024-01-15,HA63,Diazepam,Martin Dow Valium,Blue,Tablet,Not Stated,Not Stated,Bromazolam,,51.6116,-0.4230333333333333
W047530,2024-01-15,HA63,Clonazepam,Galenika Rivotril,White,Tablet,Not Stated,Not Stated,Clonazepam,,51.6116,-0.4230333333333333
W047514,2024-01-15,S80,Flualprazolam,Not Stated,White,Powder,Not Stated,Not Stated,Diazepam,,53.28049,-1.17163
W047517,2024-01-15,S40,Xanax,Not Stated,White,Tablet,Not Stated,Not Stated,Diazepam,,53.234,-1.4462
W047428,2024-01-15,S105,Valium,Diazepam,White,Tablet,Oral,"Euphoria, Empathy, Relaxed, Nausea, Paranoia, Agitation",Diazepam,,53.35,-1.55
W047533,2024-01-15,HA63,Diazepam,Accord Diazepam,Yellow,Tablet,Not Stated,Not Stated,Diazepam,,51.6116,-0.4230333333333333
W047510,2024-01-15,NE35,Diazepam,Bensedin,White,Tablet,Not Stated,Not Stated,Diazepam,,54.9503,-1.469
W047532,2024-01-15,G82,Diazepam,Not Stated,Yellow,Tablet,Oral,"Agitation, Violence/Aggression",Bromazolam,,55.954800000000006,-4.5815222222222225
W047491,2024-01-15,CF24,Diazepam,Diazepam,Blue,Tablet,Oral,"Increased Confidence, Relaxed","Metonitazene, Bromazolam",,51.48,-3.18
W047516,2024-01-15,LL11,Xanax,Xanax,White,Tablet,Oral,"Euphoria, Relaxed",Bromazolam,,53.064506666666674,-3.052973333333333
W047511,2024-01-15,CF37,Valium,Not Stated,Blue,Tablet,Not Stated,Not Stated,Bromazolam,,51.613815384615386,-3.3598076923076925
W047556,2024-01-16,NE32,Phenazepam,Not Stated,White,Powder,Not Stated,Not Stated,Diazepam,,54.974050000000005,-1.4842499999999998
W047589,2024-01-16,GU27,Diazepam,Bensedin,White,Tablet,Not Stated,Not Stated,Diazepam,,51.07171,-0.72636
W047594,2024-01-18,CT5,Diazepam,Diazepam,Blue,Tablet,Oral,"Relaxed, Agitation, Depression",Bromazolam,,51.3565,1.0400142857142858
W047620,2024-01-18,DA1,Diazepam,Diazepam,White,Tablet,Oral,Relaxed,Diazepam,,51.4477,0.1994
W047660,2024-01-18,SY1,Diazepam (valium),Diazepam,Blue,Tablet,Not Stated,Not Stated,Bromazolam,,52.71675,-2.7468
W047586,2024-01-18,CM23,Diazepam,Martin dow valium,Blue,Tablet,Not Stated,Not Stated,Diazepam,,51.89539,0.15618
W047631,2024-01-18,EX10,Martin Dow Diazepam,Not Stated,Blue,Tablet,Not Stated,Not Stated,Diazepam,,50.70001666666667,-3.258891666666667
000040372,2024-01-18,NP20,Valium,Not Stated,White,Tablet,Oral,"Relaxed, Irregular Heartbeat, Insomnia",Diazepam,,51.5877,-2.9984
W047618,2024-01-18,SY20,Diazepam,Diazepam,White,Tablet,Oral,Relaxed,Diazepam,,52.59227105263158,-3.816673684210526
W047630,2024-01-18,EX10,Accord Diazepam,Not Stated,Blue,Tablet,Not Stated,Not Stated,Diazepam,,50.70001666666667,-3.258891666666667
W047521,2024-01-18,LL13,Diazepam,Not Stated,Blue,Tablet,Oral,Relaxed,Diazepam,,52.9917619047619,-2.9116809523809524
W047587,2024-01-18,SA7,Xanax Alprazolam,Not Stated,White,Tablet,Not Stated,Not Stated,Bromazolam,,51.6703,-3.8862
W047609,2024-01-18,CF10,Diazepam,Accord,Blue,Tablet,Not Stated,Not Stated,Bromazolam,,51.48,-3.18
W047693,2024-01-19,BN1,Diazepam,Not Stated,White,Tablet,Oral,Overdose,Diazepam,,50.8614,-0.1204166666666666
W047701,2024-01-19,L3,Clonazepam,Galenika Rivotril,White,Tablet,Oral,"Increased Confidence, Relaxed",Clonazepam,,53.4106,-2.9779
W047627,2024-01-19,B13,Diazepam,Bensedin Diazepam,White,Tablet,Not Stated,Not Stated,Diazepam,,52.442,-1.88385
W047653,2024-01-19,ML3,Diazepam,Bensedin Diazepam,White,Tablet,Not Stated,Not Stated,Diazepam,,55.76254285714286,-4.045457142857143
W047565,2024-01-23,CW11,Diazepam,Galenika Beograd,White,Tablet,Not Stated,Not Stated,Diazepam,,53.13976153846154,-2.3823153846153846
W047742,2024-01-23,BT36,Diazepam,Diazepam,Blue,Tablet,Not Stated,Not Stated,Diazepam,,54.675533333333334,-5.9483
W047743,2024-01-23,BT36,Diazepam,Diazepam,Blue,Tablet,Not Stated,Not Stated,Diazepam,,54.675533333333334,-5.9483
W047597,2024-01-23,BT36,Diazepam,Diazepam,Blue,Tablet,Not Stated,Not Stated,Diazepam,,54.675533333333334,-5.9483
W047598,2024-01-23,BT36,Diazepam,Diazepam,Blue,Tablet,Not Stated,Not Stated,Diazepam,,54.675533333333334,-5.9483
W047702,2024-01-23,CW11,Diazepam,Prodes Diazepam,White,Tablet,Not Stated,Not Stated,Diazepam,,53.13976153846154,-2.3823153846153846
W047698,2024-01-23,CW11,Diazepam,Valium,Blue,Tablet,Not Stated,Not Stated,Diazepam,,53.13976153846154,-2.3823153846153846
W047697,2024-01-23,CW11,Diazepam,Galenika Bensedin,White,Tablet,Not Stated,Not Stated,No Active Component Identified,,53.13976153846154,-2.3823153846153846
W047563,2024-01-23,CW11,Diazepam,Valium Martin Dow,Blue,Tablet,Not Stated,Not Stated,Diazepam,,53.13976153846154,-2.3823153846153846
W047564,2024-01-23,CW11,Diazepam,Bensedin Galenika,White,Tablet,Not Stated,Not Stated,Diazepam,,53.13976153846154,-2.3823153846153846
W047629,2024-01-23,PA23,Diazepam,Bensedin,White,Tablet,Oral,"Relaxed, Memory Loss",Diazepam,,55.988997142857144,-4.98592
W047561,2024-01-23,CW11,Diazepam,Diazepam Actavis,Blue,Tablet,Not Stated,Not Stated,Bromazolam,,53.13976153846154,-2.3823153846153846
W047560,2024-01-23,CW11,Diazepam,Accord Diazepam,Blue,Tablet,Not Stated,Not Stated,Diazepam,,53.13976153846154,-2.3823153846153846
W047723,2024-01-23,AB43,Diazepam,Not Stated,White,Tablet,Not Stated,Not Stated,Diazepam,,57.65489545454545,-2.046884090909091
W047719,2024-01-23,AB45,Diazepam,Not Stated,White,Tablet,Not Stated,Not Stated,Bromazolam,,57.60101162790698,-2.526406976744186
W047720,2024-01-23,AB43,Diazepam,Not Stated,White,Tablet,Not Stated,Not Stated,Diazepam,,57.65489545454545,-2.046884090909091
W047722,2024-01-23,AB43,Diazepam,Roche,White,Tablet,Not Stated,Not Stated,Etizolam,,57.65489545454545,-2.046884090909091
W047721,2024-01-23,AB43,Diazepam,Roche,White,Tablet,Not Stated,Not Stated,Etizolam,,57.65489545454545,-2.046884090909091
W047744,2024-01-23,PL1,Xanax,Xanax,White,Tablet,Not Stated,Not Stated,Bromazolam,,50.37435000000001,-4.1642
W047739,2024-01-23,BH20,Alprazolam,Rlam,White,Tablet,Oral,Not Stated,Alprazolam,,50.67082068965517,-2.154941379310345
W047737,2024-01-23,BH20,Diazepam,Galenika Diazepam,White,Tablet,Oral,No Effect,Diazepam,,50.67082068965517,-2.154941379310345
