,date_received,postcode,intent,label,colour,form,consumption_method,effects,major,minor,latitude,longitude
W069998,2025-10-28,LD1,COCAINE,Array,"White, White",Granules,Not Stated,Not Stated,Cocaine,,52.2618,-3.3257903225806453
W070213,2025-10-30,S610,cocaine,cocaine ,White,Powder,Snort / Sniff,Increased Energy,Cocaine,,53.4567,-1.3738
W070246,2025-10-30,TD14,COCAINE,Not Stated,White,Powder,Smoked,"Euphoria, Enhanced Senses, Relaxed",Cocaine,"Benzoylecgonine, Ecgonine methyl ester",55.862981818181815,-2.158118181818182
W069358,2025-10-30,WS28,Cocaine,Not Stated,White,Powder,Snort / Sniff,"Euphoria, Increased Confidence, Increased Energy, Increased Strength",Cocaine,Norcocaine,52.5853,-1.984
W070335,2025-10-30,M145,Cocaine,Zy coke,White,Powder,Not Stated,Not Stated,No Active Component Identified,,53.4482,-2.2257
W069929,2025-10-30,LS11,cocaine,Not Stated,"White, White",Powder,Snort / Sniff,"Euphoria, Increased Energy, Enhanced Senses, Irregular Heartbeat",Caffeine,Amphetamine,53.7667,-1.5667
W070214,2025-10-30,S610,COCAINE,COCAINE ,White,Powder,Snort / Sniff,"Euphoria, Increased Energy, Increased Confidence",Cocaine,,53.4567,-1.3738
W070212,2025-10-30,SE10,Cocaine,Cocaine,White,Powder,Snort / Sniff,"Euphoria, Increased Energy, Increased Confidence, Irregular Heartbeat",Cocaine,,51.4779,-0.0118
W070383,2025-11-05,OX4,COCAINE,007,White,Powder,Snort / Sniff,"Euphoria, Increased Energy, Increased Confidence, Enhanced Senses, Increased Strength, Empathy, Insomnia",Cocaine,,51.723725,-1.224375
W070474,2025-11-05,HX1,cocaine,Not Stated,Green,Tablet,Not Stated,Not Stated,Diclofenac,,53.7167,-1.85
