,date_received,postcode,intent,label,colour,form,consumption_method,effects,major,minor,latitude,longitude
W068656,15 Sep 2025,WV6,diazepam 5mg,diazepam 5mg teva,Yellow,Tablet,Not Stated,Not Stated,Diazepam,,52.59424545454545,-2.2206454545454544
W068663,15 Sep 2025,WV6,Diazepam 10mg,diazepam 10mg teva,Blue,Tablet,Not Stated,Not Stated,Diazepam,,52.59424545454545,-2.2206454545454544
W068662,15 Sep 2025,WV6,Diazepam 10mg,Diazepam 10mg teva,Blue,Tablet,Not Stated,Not Stated,Diazepam,,52.59424545454545,-2.2206454545454544
W068819,15 Sep 2025,G74,Lorazepam,hemofarm lorazepam,Blue,Tablet,Not Stated,Not Stated,Lorazepam,,55.76583333333334,-4.1700333333333335
W068967,15 Sep 2025,BS3,Etizolam,Etizolam,"White, Pink",Tablet,Not Stated,Not Stated,Etizolam,,51.4552,-2.5966
W068938,15 Sep 2025,TD1,Diazepam +pregabalin,Kaysols,"White, Red",Tablet,Oral,"Euphoria, Relaxed, Insomnia",Pregabalin,,55.66659333333334,-2.8606933333333333
W068661,15 Sep 2025,WV6,Diazepam 5mg,Diazepam 5mg Almus,Yellow,Tablet,Not Stated,Not Stated,Diazepam,,52.59424545454545,-2.2206454545454544
W068806,15 Sep 2025,TR7,valium,Diazepam,Blue,Tablet,Oral,Not Stated,Ethylbromazolam,,50.41865,-5.060475
W068883,15 Sep 2025,NN16,daizepam,diazepam matin dow 10mg,Blue,,Not Stated,Not Stated,Diazepam,,52.407900000000005,-0.7116000000000001
000231104,15 Sep 2025,CF10,Diazepam 10mg,Not Stated,Blue,Tablet,Oral,"Relaxed, Loss of consciousness",Diazepam,,51.48,-3.18
W068934,15 Sep 2025,WN5,Daizepam 10mg,Daizepam 10mg,Blue,Tablet,Not Stated,Not Stated,Etizolam,,53.497899999999994,-2.7081
W068921,15 Sep 2025,EH16,Diazepam,Not Stated,Orange,Tablet,Not Stated,Not Stated,Diazepam,,55.92249999999999,-3.1511333333333336
W068664,15 Sep 2025,WV6,Xanax 1mg,Alprazolam 1mg Ksalol gelanika,"White, Grey",Tablet,Not Stated,Not Stated,Alprazolam,,52.59424545454545,-2.2206454545454544
W068657,15 Sep 2025,WV6,Diazepam 5mg,Diazepam 5mg teva,Yellow,Tablet,Not Stated,Not Stated,Diazepam,,52.59424545454545,-2.2206454545454544
W068889,15 Sep 2025,CR4,diazepam,Diazepam,Blue,Tablet,Oral,Relaxed,Ethylbromazolam,,51.3936,-0.163
W068932,15 Sep 2025,NW1,Diazepam,martin dow Valium,Blue,Tablet,Not Stated,Not Stated,Diazepam,,51.52988181818182,-0.1471818181818182
W068931,15 Sep 2025,NW1,Diazepam,martin dow valium,Blue,Tablet,Not Stated,Not Stated,Diazepam,,51.52988181818182,-0.1471818181818182
