,date_received,postcode,intent,label,colour,form,consumption_method,effects,major,minor,latitude,longitude
W074435,27 Feb 2026,BS5,Valium/ diazepam, diazepam/ watson lab,White,Tablet,Oral,"Relaxed, Insomnia",Bromazolam,,51.462,-2.5519
000239553,27 Feb 2026,NP22,Xanax,Not Stated,White,Tablet,Oral,Not Stated,Methylclonazepam,,51.7725,-3.2468
W074448,27 Feb 2026,B807,Clonazepam,Clonzepam/ martin dow rivotril,White,Tablet,Not Stated,Not Stated,Clonazepam,,52.27168,-1.88216
W073798,17 Feb 2026,EH7,Diazepam,Diazepam,Yellow,Tablet,Oral,No Effect,Diazepam,,55.9521,-3.1965
000236813,27 Feb 2026,CF64,Diazepam,Diazepam,White,Tablet,Oral,Relaxed,Diazepam,,51.42878,-3.21045
000236811,27 Feb 2026,CF64,Diazepam,Diazepam,White,Tablet,Not Stated,Not Stated,No Active Component Identified,,51.42878,-3.21045
W074451,27 Feb 2026,AB42,Diazepam,Diazepam,White,Tablet,Oral,"Loss of consciousness, Overdose",Bromazolam,,57.48231142857143,-1.924825714285714
000236812,27 Feb 2026,CF64,Diazepam,Diazepam,Yellow,Tablet,Not Stated,Not Stated,Oxandrolone,,51.42878,-3.21045
W074467,27 Feb 2026,KT7,10mg Diazepam,martin dow,Blue,Tablet,Not Stated,Not Stated,Diazepam,,51.3896,-0.3393
000043985,27 Feb 2026,CF64,Diazepam,Diazepam,Blue,Tablet,Not Stated,Not Stated,Diazepam,,51.42878,-3.21045
000236814,26 Feb 2026,CF64,Diazepam,Diazepam,White,Tablet,Not Stated,Not Stated,No Active Component Identified,,51.42878,-3.21045
W074175,27 Feb 2026,ML75,Valium,Not Stated,Blue,Tablet,Oral,"Memory Loss, Confusion, Agitation, Loss of consciousness",Bromazolam,,55.8296,-3.7961818181818185
W074444,27 Feb 2026,WV10,Diazepam,Diazepam Martin dow 10mg,Blue,Tablet,Not Stated,Not Stated,Diazepam,,52.651114285714286,-2.101428571428571
W074355,27 Feb 2026,BD14,Diazepam,Diazepam (gelanika),White,Tablet,Not Stated,Not Stated,Ethylbromazolam,,53.7667,-1.8167
000232758,27 Feb 2026,CF83,"Morpine, lorazepam, zopiclone",Not Stated,Blue,Tablet,Oral,"Memory Loss, Confusion, Loss of consciousness",Lorazepam,,51.59288333333333,-3.2333833333333337
000232757,27 Feb 2026,CF83,"Morphine, lorazepam, zopiclone",Not Stated,White,Tablet,Oral,"Memory Loss, Confusion, Loss of consciousness",Zopiclone,,51.59288333333333,-3.2333833333333337
W074438,27 Feb 2026,TS5,Diazepam,Diazepam (accord),Blue,Tablet,Not Stated,Not Stated,Ethylbromazolam,,54.5507,-1.2521
W074439,27 Feb 2026,TS5,Lorazepam,Lorazepam (almus),White,Tablet,Not Stated,Not Stated,Lorazepam,,54.5507,-1.2521
W074440,27 Feb 2026,TS5,Diazepam,Diazepam (martin dows),Blue,Tablet,Not Stated,Not Stated,Diazepam,,54.5507,-1.2521
W074442,27 Feb 2026,TS5,Diazepam,Diazepam (galenika),White,Tablet,Not Stated,Not Stated,Diazepam,,54.5507,-1.2521
W074447,27 Feb 2026,TS5,Diazepam,Diazepam (galenika),White,Tablet,Not Stated,Not Stated,Diazepam,,54.5507,-1.2521
W074357,27 Feb 2026,L36,Diazepam,Not Stated,Blue,Tablet,Oral,"Euphoria, Increased Confidence, Relaxed",Diazepam,,53.4103,-2.8480499999999997
W074374,27 Feb 2026,E2,Xanax,Alprazolam trman 1mg,Blue,Tablet,Not Stated,Not Stated,Alprazolam,,51.5386,-0.055525
W073573,27 Feb 2026,B783,Diazepam,Valium 10mg,Blue,Tablet,Not Stated,Not Stated,Diazepam,,52.60483333333334,-1.6935888888888888
W074461,27 Feb 2026,AB51,Diazepam,Sedil 5mg,Orange,Tablet,Oral,"Anxiety, Euphoria, Paranoia, Memory Loss, Confusion, Agitation",Diazepam,,57.276892045454545,-2.442275
W074371,27 Feb 2026,LE2,Xanax,Xanax,Grey,Tablet,Not Stated,Not Stated,Alprazolam,,52.60181666666667,-1.1167166666666668
W074433,27 Feb 2026,G59,Diazepam,Not Stated,White,Tablet,Oral,Relaxed,Bromazolam,,,
W074416,27 Feb 2026,YO23,Valium Martin dow diazepam 10mg,Martin dow diazepam,Blue,Tablet,Not Stated,Not Stated,Diazepam,,53.914883333333336,-1.1672333333333331
W074310,27 Feb 2026,B240,Rivotril 2mg,Galenika rivotril,White,Tablet,Not Stated,Not Stated,Clonazepam,,52.526349999999994,-1.809
000233432,27 Feb 2026,LL54,Diazepam 10mg,Bensedin,White,Tablet,Oral,Not Stated,Diazepam,,53.01643928571429,-4.2483
W074384,27 Feb 2026,HR4,Heroin,Not Stated,"White, Brown",Powder,Snort / Sniff,Not Stated,"Heroin, 6-MAM, Phenacetin, 6-Acetylcodeine, Noscapine","Diazepam, Papaverine, Paracetamol, Caffeine",52.10106744186046,-2.8000232558139535
W073569,27 Feb 2026,B179,Diazepam 10mg,Diazepam 10mg accord ,Blue,Tablet,Not Stated,Not Stated,Diazepam,,52.4585,-1.9573
W074373,27 Feb 2026,BN23,Diazepam 5mg,Not Stated,,,Oral,Relaxed,Diazepam,,50.7977,0.3125
W074306,27 Feb 2026,E3,Diazepam,Galenika bensedin 10mg,White,Tablet,Not Stated,Not Stated,Diazepam,,51.527657142857144,-0.0265714285714285
100004533,27 Feb 2026,NE10,Diazepam,Diazepam,Blue,Tablet,Not Stated,Not Stated,"Cocaine, Bromazolam",,54.953,-1.5715
W073571,27 Feb 2026,B179,Diazepam 10mg,Diazepam 10mg accord,Blue,Tablet,Not Stated,Not Stated,Diazepam,,52.4585,-1.9573
W074330,27 Feb 2026,CF24,Xanax,Not Stated,White,Tablet,Not Stated,Not Stated,Alprazolam,,51.48,-3.18
W074340,25 Feb 2026,B39,Diazepam 10mg,Diazepam 10mg,Blue,Tablet,Oral,"Increased Energy, Breathlesness, Irregular Heartbeat, Memory Loss, Paranoia, Confusion, Agitation, Insomnia",Ethylbromazolam,,,
W073570,25 Feb 2026,B179,Diazepam 10mg,Diazepam 10mg,Blue,Tablet,Not Stated,Not Stated,Diazepam,,52.4585,-1.9573
W074379,25 Feb 2026,GL12,Methallysecaline,Mescaline annalog MAL,Blue,Tablet,Not Stated,Not Stated,Diazepam,,51.62172777777778,-2.3947055555555554
W074343,25 Feb 2026,E9,Alprazolam ,alprazolam Procalm,White,Tablet,Not Stated,Not Stated,Alprazolam,,51.5394,-0.0414
W073522,25 Feb 2026,B179,Diazepam 10mg,Daizepam 10mg accord,Blue,Tablet,Not Stated,Not Stated,Diazepam,,52.4585,-1.9573
W074353,25 Feb 2026,NW5,Nitrazepam,nitrazepam,White,Tablet,Oral,"No Effect, Insomnia",Nitrazepam,,51.5517,-0.1413
W074349,25 Feb 2026,CR01,Xanax,4mg xanax yellow r039,Yellow,Tablet,Oral,Not Stated,Bromazolam,,51.3703,-0.060975
W074358,25 Feb 2026,NW5,Diazepam 10mg,Diazepam (galenika bensedin) 10mg,White,Tablet,Not Stated,Not Stated,Diazepam,,51.5517,-0.1413
W074304,25 Feb 2026,BS13,Valium,Martin dow,Blue,Tablet,Oral,"Euphoria, Relaxed, Enhanced Senses",Diazepam,,51.4121,-2.612
W074258,25 Feb 2026,M33,Diazepam,Accord ,Yellow,Tablet,Not Stated,Not Stated,Diazepam,,53.4252,-2.3244
W074131,25 Feb 2026,W128,Lorazepam 1mg,lorazepam 1mg,Blue,Tablet,Oral,Not Stated,Lorazepam,,51.505,-0.2211
W074263,25 Feb 2026,NR16,Diazepam 10mg,diazepam,Blue,Tablet,Oral,Relaxed,Bromazolam,"Flubromazolam, Flubromazepam",52.473336,1.032084
W074262,25 Feb 2026,NR16,2mg xanax,2mg xanax,White,,Oral,Relaxed,Bromazolam,,52.473336,1.032084
W074268,25 Feb 2026,NR16,1mg ksalol,Ksalol Alprazolam,White,Tablet,Oral,Not Stated,Alprazolam,,52.473336,1.032084
W074281,25 Feb 2026,W7,Alprazolam,Alprazolam,White,Tablet,Not Stated,Not Stated,Alprazolam,,51.5118,-0.3358999999999999
W074295,25 Feb 2026,KA3,Diazepam,Diazepam,Blue,Tablet,Oral,Not Stated,Diazepam,,55.64550714285714,-4.502764285714286
W074250,25 Feb 2026,G4,Diazepam,Not Stated,Blue,Tablet,Not Stated,Not Stated,Bromazolam,,55.8651,-4.2576
